Date,Lloyds_Close
2016-05-25,73.74
2016-05-26,72.81
2016-05-27,72.45
2016-05-31,72.02
2016-06-01,71.34
2016-06-02,70.53
2016-06-03,70.0
2016-06-06,69.64
2016-06-07,70.25
2016-06-08,69.86
2016-06-09,69.11
2016-06-10,67.05
2016-06-13,64.23
2016-06-14,62.18
2016-06-15,63.0
2016-06-16,61.36
2016-06-17,65.05
2016-06-20,70.0
2016-06-21,70.33
2016-06-22,70.55
2016-06-23,72.15
2016-06-24,57.0
2016-06-27,51.15
2016-06-28,54.95
2016-06-29,55.52
2016-06-30,54.06
2016-07-01,54.35
2016-07-04,53.13
2016-07-05,51.02
2016-07-06,47.55
2016-07-07,49.7
2016-07-08,52.6
2016-07-11,54.85
2016-07-12,56.25
2016-07-13,55.32
2016-07-14,56.2
2016-07-15,55.99
2016-07-18,55.59
2016-07-19,55.43
2016-07-20,56.77
2016-07-21,56.2
2016-07-22,54.49
2016-07-25,53.8
2016-07-26,54.13
2016-07-27,55.75
2016-07-28,52.5
2016-07-29,53.15
2016-08-01,53.25
2016-08-02,52.73
2016-08-03,52.99
2016-08-04,51.95
2016-08-05,53.15
2016-08-08,54.55
2016-08-09,55.04
2016-08-10,55.49
2016-08-11,55.22
2016-08-12,55.4
2016-08-15,54.5
2016-08-16,53.95
2016-08-17,53.48
2016-08-18,53.87
2016-08-19,55.24
2016-08-22,55.54
2016-08-23,57.59
2016-08-24,59.27
2016-08-25,58.37
2016-08-26,58.01
2016-08-30,58.86
2016-08-31,59.35
2016-09-01,60.64
2016-09-02,60.95
2016-09-05,59.65
2016-09-06,58.08
2016-09-07,57.62
2016-09-08,58.86
2016-09-09,59.31
2016-09-12,56.97
2016-09-13,56.39
2016-09-14,56.82
2016-09-15,56.73
2016-09-16,56.51
2016-09-19,57.0
2016-09-20,56.44
2016-09-21,57.1
2016-09-22,57.15
2016-09-23,55.98
2016-09-27,54.64
2016-09-28,55.53
2016-09-29,55.49
2016-09-30,54.55
2016-10-03,54.71
2016-10-04,54.77
2016-10-05,54.7
2016-10-06,54.99
2016-10-07,52.5
2016-10-10,52.38
2016-10-11,53.64
2016-10-12,53.03
2016-10-13,52.53
2016-10-14,52.43
2016-10-17,52.82
2016-10-18,53.94
2016-10-19,54.87
2016-10-20,55.56
2016-10-21,55.14
2016-10-24,54.97
2016-10-25,55.35
2016-10-26,55.88
2016-10-27,57.5
2016-10-28,57.74
2016-10-31,57.26
2016-11-01,56.24
2016-11-02,55.15
2016-11-03,56.03
2016-11-04,55.46
2016-11-07,56.07
2016-11-08,56.24
2016-11-09,57.51
2016-11-10,59.63
2016-11-11,59.5
2016-11-14,60.57
2016-11-15,61.4
2016-11-16,60.41
2016-11-17,59.98
2016-11-18,59.44
2016-11-21,59.11
2016-11-22,59.75
2016-11-23,59.64
2016-11-24,59.68
2016-11-25,58.77
2016-11-28,57.86
2016-11-29,57.71
2016-11-30,57.87
2016-12-01,57.59
2016-12-02,57.55
2016-12-05,58.25
2016-12-06,59.48
2016-12-07,62.27
2016-12-08,62.77
2016-12-09,61.74
2016-12-12,61.38
2016-12-13,62.55
2016-12-14,62.76
2016-12-15,64.37
2016-12-16,63.78
2016-12-19,62.55
2016-12-20,63.94
2016-12-21,64.28
2016-12-22,64.0
2016-12-23,63.8
2016-12-28,63.55
2016-12-29,62.78
2016-12-30,62.51
2017-01-03,64.62
2017-01-04,64.77
